geneID	symbol	chromosome	start_pos	end_pos	orientation	description	TSS	aliases
100418102	Gm19002	chr1	7315451.0	7316462.0	plus	predicted gene, 19002	7315451	
100418076	Gm18984	chr1	7411181.0	7411996.0	plus	predicted gene, 18984	7411181	
665063	Gm7470	chr1	7597370.0	7599482.0	plus	predicted gene 7470	7597370	EG665063
665069	Rps2-ps2	chr1	7664051.0	7665000.0	plus	ribosomal protein S2, pseudogene 2	7664051	EG665069, Gm7474
71096	Sntg1	chr1	8359739.0	9301657.0	minus	syntrophin, gamma 1	9301657	4933426D16Rik, G1SYN, SYN4
100039474	Gm15452	chr1	8791661.0	8792229.0	minus	predicted gene 15452	8792229	
102632599	Gm6152	chr1	8855112.0	8856334.0	minus		8856334	
102632504	Gm7445	chr1	8856685.0	8857164.0	plus		8856685	
102632382	Gm7493	chr1	8962622.0	8963880.0	minus		8963880	
620853	Gm6187	chr1	9396668.0	9398567.0	minus		9398567	
100416881	Gm18299	chr1	9439771.0	9440432.0	minus	predicted gene, 18299	9440432	
665138	Gm7512	chr1	9450508.0	9452040.0	plus	predicted gene 7512	9450508	EG665138
115487601	Gm24765	chr1	9458670.0	9458772.0	plus		9458670	
100416882	Gm18300	chr1	9499359.0	9501514.0	minus	predicted gene, 18300	9501514	
59014	Rrs1	chr1	9545408.0	9547455.0	plus	ribosome biogenesis regulator 1	9545408	5730466A07Rik, AA415037, D1Ertd701e, Rrr
76187	Adhfe1	chr1	9547948.0	9577970.0	plus	alcohol dehydrogenase, iron containing, 1	9547948	6330565B14Rik, Adh8, AI043035, HOT
72481	2610203C22Rik	chr1	9560832.0	9631092.0	minus	RIKEN cDNA 2610203C22 gene	9631092	2310007M24Rik
620542	Gm6161	chr1	9574536.0	9575865.0	plus	predicted gene 6161	9574536	EG620542
76982	Vxn	chr1	9601267.0	9627142.0	plus	vexin	9601267	3110035E14Rik, AI415019, AV164974, R75066
17864	Mybl1	chr1	9667407.0	9700439.0	minus	myeloblastosis oncogene-like 1	9700439	A-myb, G1-419-6, repro9
70675	Vcpip1	chr1	9718622.0	9748382.0	minus	valosin containing protein (p97)/p47 complex interacting protein 1	9748382	4932442A08, 5730421J18Rik, 5730538E15Rik, mKIAA1850, VCIP135
73331	1700034P13Rik	chr1	9747648.0	9771256.0	plus	RIKEN cDNA 1700034P13 gene	9747648	
170755	Sgk3	chr1	9798130.0	9902570.0	plus	serum/glucocorticoid regulated kinase 3	9798130	2510015P22Rik, A330005P07Rik, Cisk, fy, fz
108167613	Gm6195	chr1	9802188.0	9802553.0	minus		9802553	
240697	Mcmdc2	chr1	9906157.0	9943606.0	plus	minichromosome maintenance domain containing 2	9906157	6030422M02Rik
73824	Snhg6	chr1	9942025.0	9944118.0	minus	small nucleolar RNA host gene 6	9944118	1110008H02Rik
266793	Snord87	chr1	9942470.0	9942543.0	minus	small nucleolar RNA, C/D box 87	9942543	MBII-276, Rnu87, U87
100039596	Tcf24	chr1	9960163.0	9967981.0	minus	transcription factor 24	9967981	100039596, Gm10567, Gm2330
69312	Ppp1r42	chr1	9968622.0	10013541.0	minus	protein phosphatase 1, regulatory subunit 42	10013541	1700011J18Rik, 4930418G15Rik, Lrrc67, TLRR
26754	Cops5	chr1	10024600.0	10038159.0	minus	COP9 signalosome subunit 5	10038159	AI303502, CSN5, Jab1, Mov34, Sgn5
211660	Cspp1	chr1	10038116.0	10136771.0	plus	centrosome and spindle pole associated protein 1	10038116	2310020J12Rik, 4930413O22Rik, AA387550, BC055915, Cspp2, Cspp3
211673	Arfgef1	chr1	10137507.0	10232670.0	minus	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	10232670	ARFGEP1, BIG1, D130059B05Rik, D730028O18Rik, P200
329093	Cpa6	chr1	10295791.0	10720053.0	minus	carboxypeptidase A6	10720053	9030616D13Rik
100416202	Gm15604	chr1	10554013.0	10554576.0	minus	predicted gene 15604	10554576	
115487592	Gm25253	chr1	10555554.0	10555660.0	minus		10555660	
102636010	Gm15603	chr1	10694415.0	10695614.0	plus		10694415	
433271	Gm5522	chr1	10805281.0	10806522.0	plus	predicted gene 5522	10805281	EG433271
115487491	Gm28659	chr1	10846096.0	10869449.0	plus		10846096	
109294	Prex2	chr1	10993273.0	11303683.0	plus	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	10993273	6230420N16Rik, AI316880, AI553603, C030045D06Rik, D430013K02, Depdc2, P-Rex2
115487671	Gm24173	chr1	11134111.0	11134238.0	minus		11134238	
320492	A830018L16Rik	chr1	11413615.0	11975902.0	plus	RIKEN cDNA A830018L16 gene	11413615	
665262	Gm7560	chr1	12120939.0	12122032.0	plus	predicted gene 7560	12120939	EG665262
115487708	Gm22633	chr1	12374936.0	12375042.0	plus		12374936	
102465961	Mir6341	chr1	12425986.0	12426106.0	plus	microRNA 6341	12425986	Gm27262, mmu-mir-6341
100039709	Gm2383	chr1	12565560.0	12566590.0	plus	predicted gene 2383	12565560	100039709
621353	Gm6216	chr1	12655843.0	12656744.0	plus	predicted gene 6216	12655843	EG621353
329096	Gm17644	chr1	12667563.0	12673090.0	plus	predicted gene, 17644	12667563	4932411L15
240725	Sulf1	chr1	12692197.0	12861192.0	plus	sulfatase 1	12692197	AI467640, AW121680, mKIAA1077
240726	Slco5a1	chr1	12866549.0	12992796.0	minus	solute carrier organic anion transporter family, member 5A1	12992796	4732454B15, A630033C23Rik, AA407151
383490	Gm5250	chr1	13061922.0	13062537.0	plus	predicted gene 5250	13061922	EG383490, Gm16393
383491	Prdm14	chr1	13113428.0	13127163.0	minus	PR domain containing 14	13127163	
17978	Ncoa2	chr1	13139105.0	13374227.0	minus	nuclear receptor coactivator 2	13374227	bHLHe75, D1Ertd433e, GRIP-1, Grip1, KAT13C, NCoA-2, SRC-2, TIF2
115487625	Gm23169	chr1	13334498.0	13334609.0	minus		13334609	
665341	Gm7593	chr1	13407010.0	13407654.0	minus	predicted gene 7593	13407654	EG665341
72265	Tram1	chr1	13564693.0	13589910.0	minus	translocating chain-associating membrane protein 1	13589910	1810049E02Rik, TRAMP
212442	Lactb2	chr1	13625893.0	13660583.0	minus	lactamase, beta 2	13660583	Cgi-83, E430032H21Rik
381246	Xkr9	chr1	13668738.0	13702230.0	plus	X-linked Kx blood group related 9	13668738	Gm1620, XRG9
115485793	Gm26273	chr1	13774334.0	13774464.0	minus		13774464	
433273	Gm5523	chr1	13785685.0	13786929.0	minus	predicted pseudogene 5523	13786929	EG433273
14048	Eya1	chr1	14168953.0	14311035.0	minus	EYA transcriptional coactivator and phosphatase 1	14311035	bor
17681	Msc	chr1	14753344.0	14756089.0	minus	musculin	14756089	bHLHa22, MyoR
105243866	Gm9947	chr1	14755987.0	14793322.0	plus		14755987	
114607	Smt3h2-ps4	chr1	14839267.0	14840273.0	minus	SMT3 suppressor of mif two 3 homolog 2, pseudogene 4 (S. cerevisiae)	14840273	
665407	Rpl5-ps1	chr1	14865018.0	14866019.0	plus	ribosomal protein L5, pseudogene 1	14865018	EG665407, Gm7625
277328	Trpa1	chr1	14872644.0	14918862.0	minus	transient receptor potential cation channel, subfamily A, member 1	14918862	Anktm1, TRPA1b
115485804	Gm26345	chr1	15019040.0	15019159.0	minus		15019159	
100039959	Gm10566	chr1	15268604.0	15269815.0	minus	predicted gene 10566	15269815	
98741	Kcnb2	chr1	15286925.0	15723751.0	plus	potassium voltage gated channel, Shab-related subfamily, member 2	15286925	9630047L19Rik, BB130875, Kv2.2
115485805	Gm25227	chr1	15685935.0	15686046.0	minus		15686046	
115485792	Gm25168	chr1	15757832.0	15757963.0	plus		15757832	
606528	Gm6060	chr1	15759913.0	15760289.0	minus	predicted gene 6060	15760289	EG606528, Ppia-ps1_109.1
21749	Terf1	chr1	15805546.0	15844052.0	plus	telomeric repeat binding factor 1	15805546	Pin2, Trbf1, Trf1
226866	Sbspon	chr1	15853862.0	15892722.0	minus	somatomedin B and thrombospondin, type 1 domain containing	15892722	Gm106, Rpesp
665434	Gm7634	chr1	16053335.0	16053906.0	plus		16053335	
75799	4930444P10Rik	chr1	16065974.0	16093345.0	minus	RIKEN cDNA 4930444P10 gene	16093345	
19989	Rpl7	chr1	16101295.0	16104433.0	minus	ribosomal protein L7	16104433	Rpl7a, Surf-3
98711	Rdh10	chr1	16105882.0	16132550.0	plus	retinol dehydrogenase 10 (all-trans)	16105882	3110069K09Rik, 4921506A21Rik, AI875664, AW549993, D1Ertd762e, m366Asp
29819	Stau2	chr1	16228803.0	16520332.0	minus	staufen double-stranded RNA binding protein 2	16520332	
102634042	Gm7568	chr1	16253533.0	16268346.0	plus		16253533	
66799	Ube2w	chr1	16540788.0	16619460.0	minus	ubiquitin-conjugating enzyme E2W (putative)	16619460	6130401J04Rik
67923	Eloc	chr1	16641725.0	16657428.0	minus	elongin C	16657428	2610043E24Rik, 2610301I15Rik, AA407206, AI987979, AW049146, Tceb1
329101	D030040B21Rik	chr1	16657552.0	16662278.0	plus	RIKEN cDNA D030040B21 gene	16657552	D030040B21
70397	Tmem70	chr1	16665191.0	16678275.0	plus	transmembrane protein 70	16665191	1110020A09Rik, 2210416J16Rik
17087	Ly96	chr1	16688456.0	16709605.0	plus	lymphocyte antigen 96	16688456	ESOP-1, MD-2, MD2
545306	Gm5828	chr1	16768279.0	16770138.0	minus	predicted gene 5828	16770138	EG545306
57339	Jph1	chr1	16942104.0	17097922.0	minus	junctophilin 1	17097922	JP-1, Jp1
102634310	Gm28783	chr1	17120597.0	17128971.0	plus		17120597	
14545	Gdap1	chr1	17145373.0	17164271.0	plus	ganglioside-induced differentiation-associated-protein 1	17145373	
102634541	Gm28784	chr1	17168402.0	17173109.0	plus		17168402	
383495	Gm5251	chr1	17394641.0	17395661.0	plus	predicted gene 5251	17394641	EG383495
108212	Rbm6-ps1	chr1	17397290.0	17401340.0	minus	RNA binding motif protein 6, pseudogene 1	17401340	
606716	Gm6075	chr1	17428839.0	17429571.0	minus	predicted gene 6075	17429571	EG606716, Ppia-ps1_125.1
115485812	Gm25166	chr1	17520001.0	17520111.0	plus		17520001	
94227	Pi15	chr1	17601901.0	17630939.0	plus	peptidase inhibitor 15	17601901	P24TI, P25TI, PI-15, SugarCrisp
102634738	Gm28154	chr1	17615083.0	17641382.0	minus		17641382	
102634913	Gm16070	chr1	17676027.0	17727646.0	minus	predicted gene 16070	17727646	
83691	Crispld1	chr1	17727029.0	17767235.0	plus	cysteine-rich secretory protein LCCL domain containing 1	17727029	Cocoacrisp, Lcrisp1
665564	Gm7690	chr1	17947002.0	17949647.0	plus	predicted gene 7690	17947002	EG665564
100417711	Gm18775	chr1	17992961.0	17999624.0	minus	predicted gene, 18775	17999624	
100416210	Gm17969	chr1	17993825.0	17997483.0	plus	predicted gene, 17969	17993825	
78081	Crisp4	chr1	18114889.0	18145902.0	minus	cysteine-rich secretory protein 4	18145902	9230112K08Rik
654454	Defb44-ps	chr1	18210053.0	18223564.0	minus	defensin beta 44, pseudogene	18223564	Defb44, Defb49, Defb49-ps, EG574082
654460	Defb18	chr1	18236402.0	18237476.0	minus	defensin beta 18	18237476	BD-18, EG654460, mBD-18
77673	Defb41	chr1	18250978.0	18265138.0	minus	defensin beta 41	18265138	9230102D03Rik, BD-17, Bd-41, Defb16, Defb17, Gm15386
100415956	Gm17837	chr1	18262395.0	18263379.0	minus	predicted gene, 17837	18263379	
383499	Gm5252	chr1	18708428.0	18709338.0	plus	predicted gene 5252	18708428	EG383499
115485820	Gm24075	chr1	18969758.0	18969833.0	minus		18969833	
108167808	Gm28343	chr1	19037296.0	19037505.0	plus		19037296	
102635013	Gm15825	chr1	19063300.0	19104840.0	minus	predicted gene 15825	19104840	
226896	Tfap2d	chr1	19103022.0	19173948.0	plus	transcription factor AP-2, delta	19103022	Tcfap2d
115487451	Gm10075	chr1	19153310.0	19154096.0	minus		19154096	
21419	Tfap2b	chr1	19208908.0	19238845.0	plus	transcription factor AP-2 beta	19208908	AI606113, AP-2(beta), E130018K07Rik, Tcfap2b
226901	Gm4849	chr1	19330942.0	19333675.0	plus	predicted gene 4849	19330942	EG226901
241035	Pkhd1	chr1	20057779.0	20618082.0	minus	polycystic kidney and hepatic disease 1	20618082	AI118496, AI182499, FPC, Tigm1
75028	4930486I03Rik	chr1	20356454.0	20392300.0	plus	RIKEN cDNA 4930486I03 gene	20356454	
115487082	Gm15795	chr1	20444221.0	20444712.0	minus		20444712	
115487586	Gm24162	chr1	20444811.0	20444912.0	minus		20444912	
105661730	Lincmd1	chr1	20669882.0	20682958.0	plus	long intergenic non-protein coding RNA of muscle differentiation 1	20669882	Linc-md1
387202	Mir206	chr1	20679010.0	20679082.0	plus	microRNA 206	20679010	Mirn206, mmu-mir-206
723817	Mir133b	chr1	20682769.0	20682887.0	plus	microRNA 133b	20682769	mir-133b, Mirn133b
16171	Il17a	chr1	20730905.0	20734496.0	plus	interleukin 17A	20730905	Ctla-8, Ctla8, IL-17, IL-17A, Il17
257630	Il17f	chr1	20777146.0	20785274.0	minus	interleukin 17F	20785274	C87042, IL-17F
17215	Mcm3	chr1	20802966.0	20820312.0	minus	minichromosome maintenance complex component 3	20820312	AL033361, C80350, Mcmd, P1, P1-MCM3, p1.m
100417924	Gm20587	chr1	20821331.0	20822515.0	plus	predicted gene, 20587	20821331	Cct7-3p
115485821	Gm24723	chr1	20842535.0	20842666.0	minus		20842666	
77741	6720483E21Rik	chr1	20888650.0	20890473.0	minus	RIKEN cDNA 6720483E21 gene	20890473	
74229	Paqr8	chr1	20890548.0	20939650.0	plus	progestin and adipoQ receptor family member VIII	20890548	1700019B16Rik, 3110001D06Rik
115485789	Gm24171	chr1	20915410.0	20915540.0	minus		20915540	
71877	Efhc1	chr1	20951553.0	20990841.0	plus	EF-hand domain (C-terminal) containing 1	20951553	1700029F22Rik, mRib72-1, myoclonin1
170829	Tram2	chr1	21001397.0	21079225.0	minus	translocating chain-associating membrane protein 2	21079225	C330003D03Rik
75712	Tmem14a	chr1	21166436.0	21230167.0	plus	transmembrane protein 14A	21166436	5730496E24Rik, C85783, PTD011
102635593	Gm28836	chr1	21207528.0	21271685.0	minus		21271685	
14859	Gsta3	chr1	21240565.0	21265575.0	plus	glutathione S-transferase, alpha 3	21240565	Gst2-3
101056100	Gm7094	chr1	21272308.0	21273102.0	plus		21272308	
241041	Gm4956	chr1	21285246.0	21298312.0	minus	predicted gene 4956	21298312	EG241041
101056161	Gm21909	chr1	21312516.0	21341388.0	minus	predicted gene, 21909	21341388	
368204	Khdc1a	chr1	21349677.0	21352199.0	plus	KH domain containing 1A	21349677	AU014713, C88118, Ndg1
433278	Khdc1c	chr1	21368331.0	21369743.0	plus	KH domain containing 1C	21368331	Khdc1b
100040319	Gm2709	chr1	21372356.0	21374170.0	plus	predicted gene 2709	21372356	100040319
100379214	Gm16533	chr1	21379554.0	21380419.0	plus	predited gene 16533	21379554	
98582	Khdc1b	chr1	21383556.0	21386384.0	plus	KH domain containing 1B	21383556	AU014713, AU015226, AU024076, AY238603, C85331, C86372, C88118, Khdc1, Khdc1c
226922	Kcnq5	chr1	21398399.0	21962650.0	minus	potassium voltage-gated channel, subfamily Q, member 5	21962650	7730402H11, 9230107O05Rik, AA589396, D1Mgi1
665489	Gm7658	chr1	21511867.0	21513096.0	minus	predicted gene 7658	21513096	AL022788, AL024247, AU040300, D1Mgi28, EG665489
435612	Gm5696	chr1	22030053.0	22030615.0	minus	predicted gene 5696	22030615	EG435612
116837	Rims1	chr1	22285972.0	22806158.0	minus	regulating synaptic membrane exocytosis 1	22806158	C030033M19Rik, Rab3ip1, Rim, RIM1, RIM1a, RIM1alpha, Serg1
665731	Gm7761	chr1	22984817.0	22986554.0	minus		22986554	
66755	Ppp1r14bl	chr1	23100473.0	23102253.0	minus	protein phosphatase 1, regulatory inhibitor subunit 14B like	23102253	4933415F23Rik
102632273	Gm29506	chr1	23228493.0	23235658.0	minus		23235658	
115485803	Gm24176	chr1	23245211.0	23245331.0	plus		23245211	
387225	Mir30a	chr1	23272269.0	23272339.0	plus	microRNA 30a	23272269	mir-30a, Mirn30a, mmu-mir-30a
723964	Mir30c-2	chr1	23291701.0	23291784.0	plus	microRNA 30c-2	23291701	mir-30c-2, Mirn30c-2
100418001	Gm20954	chr1	23345956.0	23346599.0	minus	predicted gene, 20954	23346599	
70155	Ogfrl1	chr1	23366424.0	23383201.0	minus	opioid growth factor receptor-like 1	23383201	2210417C17Rik
665782	Gm7784	chr1	23479520.0	23480729.0	plus	predicted gene 7784	23479520	EG665782
105243890	Gm28822	chr1	23574587.0	23596664.0	plus	predicted gene 28822	23574587	
280645	B3gat2	chr1	23761926.0	23847865.0	plus	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	23761926	GlcAT-S, Glcats
98366	Smap1	chr1	23844825.0	23922381.0	minus	small ArfGAP 1	23922381	1700056O10Rik, 4921514B13Rik, 4921525H11Rik, AI462175
68002	Sdhaf4	chr1	23995939.0	24005640.0	minus	succinate dehydrogenase complex assembly factor 4	24005640	1110058L19Rik, 1700001E18Rik, C6orf57
68187	Fam135a	chr1	24010758.0	24100484.0	minus	family with sequence similarity 135, member A	24100484	4921533L14Rik, AI256732, AI835491
12839	Col9a1	chr1	24177589.0	24252738.0	plus	collagen, type IX, alpha 1	24177589	Col9a-1
12823	Col19a1	chr1	24257683.0	24587922.0	minus	collagen, type XIX, alpha 1	24587922	
115485770	Gm26418	chr1	24548841.0	24548977.0	minus		24548977	
665829	Tubb4b-ps2	chr1	24593931.0	24595489.0	minus	tubulin, beta 4B class IVB, pseudogene 2	24595489	EG665829, Gm7811, Tubb2c-ps2
100142658	Gm10222	chr1	24612404.0	24612700.0	minus	predicted gene 10222	24612700	
100503946	Gm10925	chr1	24613971.0	24614651.0	minus	predicted gene 10925	24614651	Atp6, Atpase6, mt-Atp6, Mtatp6
68421	Lmbrd1	chr1	24676992.0	24766301.0	plus	LMBR1 domain containing 1	24676992	0910001K20Rik, AV347960, LMBD1
669171	Gm9443	chr1	25011941.0	25012759.0	plus		25011941	
105243892	Gm29414	chr1	25026578.0	25027593.0	minus		25027593	
210933	Adgrb3	chr1	25067476.0	25834772.0	minus	adhesion G protein-coupled receptor B3	25834772	A830096D10Rik, Bai3
100504323	Gm20172	chr1	25276404.0	25277954.0	minus	predicted gene, 20172	25277954	
115487583	Gm22260	chr1	25279445.0	25279551.0	minus		25279551	
115487617	Gm25294	chr1	25451071.0	25451174.0	plus		25451071	
117981786	Gm9884	chr1	25830430.0	25831570.0	plus	predicted gene 9884	25830430	
100417198	Gm18443	chr1	25996604.0	25997159.0	minus	predicted gene, 18443	25997159	
100418295	Gm19123	chr1	26466236.0	26466886.0	plus	predicted gene, 19123	26466236	
115485817	Gm24064	chr1	26566833.0	26566938.0	plus		26566833	
210940	4931408C20Rik	chr1	26681801.0	26687460.0	minus	RIKEN cDNA 4931408C20 gene	26687460	
115487689	n-R5s209	chr1	26959103.0	26959221.0	minus		26959221	
433281	Gm5524	chr1	27884046.0	27902187.0	plus	predicted gene 5524	27884046	AI875557, EG433281
100417712	Gm18776	chr1	27900419.0	27901072.0	minus	predicted gene, 18776	27901072	
100418140	Gm19028	chr1	27989910.0	27991781.0	plus	predicted gene, 19028	27989910	
665903	Gm7846	chr1	28580381.0	28580768.0	minus		28580768	
210962	Gm597	chr1	28776122.0	28780252.0	minus	predicted gene 597	28780252	
435614	Gm5697	chr1	28801035.0	28802802.0	minus	predicted gene 5697	28802802	EG435614
623924	Gm6462	chr1	28938035.0	28938340.0	plus		28938035	
100416315	Gm18033	chr1	29219672.0	29220240.0	plus	predicted gene, 18033	29219672	
102465174	Mir6342	chr1	29421488.0	29421612.0	plus	microRNA 6342	29421488	Gm27268, mmu-mir-6342
433283	Gm5525	chr1	29484524.0	29485934.0	minus	predicted gene 5525	29485934	EG433283
665944	Gm7858	chr1	29929988.0	29930853.0	plus	predicted gene 7858	29929988	EG665944
624138	Gm6473	chr1	30769687.0	30772337.0	plus	predicted gene 6473	30769687	EG624138
100040699	Gm2914	chr1	30790042.0	30794946.0	minus		30794946	
213109	Phf3	chr1	30802342.0	30873922.0	minus	PHD finger protein 3	30873922	2310061N19Rik
19243	Ptp4a1	chr1	30940303.0	30949877.0	minus	protein tyrosine phosphatase 4a1	30949877	AA415290, AU019864, C130021B01, Prl-1
435615	Gm5698	chr1	30977246.0	30977968.0	minus	predicted gene 5698	30977968	EG435615
669402	Gm9458	chr1	30986168.0	30986996.0	minus		30986996	
102634159	Gm28644	chr1	31019328.0	31044774.0	plus		31019328	
70988	4931428L18Rik	chr1	31141078.0	31222656.0	minus	RIKEN cDNA 4931428L18 gene	31222656	4930563O14Rik
666020	Gm7893	chr1	31164439.0	31165408.0	plus	predicted gene 7893	31164439	EG666020
266744	Lgsn	chr1	31176281.0	31204725.0	plus	lengsin, lens protein with glutamine synthetase domain	31176281	Gluld1, lengsin, Lgs
74708	Dnaaf6	chr1	31222839.0	31224287.0	plus	dynein axonemal assembly factor 6	31222839	4930521A18Rik, Pih1d3
115485790	Gm26145	chr1	31259593.0	31259719.0	minus		31259719	
226957	Gm4850	chr1	31264847.0	31268061.0	plus	predicted pseudogene 4850	31264847	EG226957
624262	Gm6489	chr1	31287083.0	31288051.0	plus	predicted gene 6489	31287083	EG624262
624275	Eef1a1-ps2	chr1	31559606.0	31560831.0	plus	eukaryotic translation elongation factor 1 alpha 1, pseudogene 2	31559606	EG624275, Gm10307
100503415	Gm19680	chr1	31615304.0	31616843.0	plus	predicted gene, 19680	31615304	
115487630	Gm23032	chr1	31656632.0	31656738.0	minus		31656738	
666056	Gm7910	chr1	31736307.0	31737089.0	plus	predicted gene 7910	31736307	EG666056
170771	Khdrbs2	chr1	32172602.0	32705224.0	plus	KH domain containing, RNA binding, signal transduction associated 2	32172602	6330586C16Rik, mSLM-1, Slim1, Slm-1, Slm1, Tg(LRRK2*R1441G)135Cjli, TG-RP135
115487604	Gm25814	chr1	32213133.0	32213239.0	minus		32213239	
408192	Gm9839	chr1	32519563.0	32520999.0	minus	predicted gene 9839	32520999	Senp15
408191	Gm5415	chr1	32543546.0	32547293.0	minus	predicted gene 5415	32547293	EG408191, Senp14
115487635	Gm24732	chr1	32568359.0	32568421.0	minus		32568421	
633498	Gm7114	chr1	33100906.0	33102693.0	plus	predicted gene 7114	33100906	EG633498
213711	Gm4785	chr1	33108910.0	33109657.0	minus	predicted gene 4785	33109657	EG213711
115487628	Gm24901	chr1	33191993.0	33192102.0	plus		33191993	
100418410	Gm2987	chr1	33236945.0	33237589.0	plus	predicted gene 2987	33236945	100040828
115487597	Gm25792	chr1	33293676.0	33293784.0	plus		33293676	
100417744	Gm18799	chr1	33315680.0	33316471.0	minus	predicted gene, 18799	33316471	
666108	Gm7933	chr1	33371965.0	33373778.0	plus	predicted gene 7933	33371965	EG666108
115487581	Gm23453	chr1	33422733.0	33422838.0	plus		33422733	
19076	Prim2	chr1	33453808.0	33669808.0	minus	DNA primase, p58 subunit	33669808	AI323589
115487461	Gm29228	chr1	33481402.0	33482614.0	plus		33481402	
100302654	Gm17813	chr1	33657689.0	33658673.0	plus	predicted gene, 17813	33657689	
